target_brand,model,category,asset_type,asset_role,source_name,source_role,page_url,asset_url,expected_mime,expected_extension,language,priority,model_evidence,confidence,disposition,http_status,observed_mime,validation_status,notes
EP,EFL302,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=2,,,,es,100,EFL302,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,EPT20-30RT,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=2,,,,es,100,EPT20-30RT,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,EPL153,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=2,,,,es,100,EPL153,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,SERIE F,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=2,,,,es,100,SERIE F,REVIEW,REVIEW,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,EPT20,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=3,,,,es,100,EPT20,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,EPT20-ET,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=3,,,,es,100,EPT20-ET,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,WPL202,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=3,,,,es,100,WPL202,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,RPL201H,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=3,,,,es,100,RPL201H,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,CBY 30II,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=3,,,,es,100,CBY 30II,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,EPT20-30RTS,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=3,,,,es,100,EPT20-30RTS,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,EPT20-35RTS,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=3,,,,es,100,EPT20-35RTS,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,EPT20-35RT,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=3,,,,es,100,EPT20-35RT,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,RSC082,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=3,,,,es,100,RSC082,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,SYG-1016,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=3,,,,es,100,SYG-1016,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,RSC122,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=3,,,,es,100,RSC122,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,RSC152,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=3,,,,es,100,RSC152,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,ESi161,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=4,,,,es,100,ESi161,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,WSA161,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=4,,,,es,100,WSA161,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
EP,KSi201,,unknown,,GAM,fallback,https://online.gamrentals.com/cl/826-ep?page=4,,,,es,100,KSi201,PENDING_LOCAL_HARVEST,MISSING,,,PENDING_LOCAL_HARVEST,harvest-ep obtendrá página de producto y URLs de activos; no es un activo habilitado
